id	name hu	question hu	description hu	order sk		id	
1	Adatvédelem	Erősebb adatvédelmi szabályozásra lenne szükség az EU-ban.	A személyes adatok közé tartoznak például az egészségügyi adatok, a genetikai minták, a gazdasági adatok, a telefonhívások vagy az internetböngészési adatok is. Ezek az adatok politikai vagy üzleti célokra egyaránt használhatók.	3		1	
2	Minimálbér	Az Uniónak szorgalmaznia kellene, hogy minden tagállamban az átlagfizetéshez kötött minimálbért vezessenek be.	Az átlagos minimálbér az EU tagállamaiban körülbelül az átlagbér 40 százaléknak felel meg. Arányaiban a legalacsonyabb Csehországban (32%), a legmagasabb pedig Szlovéniában és Görögországban (50%) - Magyarországon 44%-os a minimálbér átlagbérhez viszonyított aránya.	4		2	
3	Jogalkotás	Az Európai Parlament kezdeményezhessen önállóan is jogszabályt, az Európai Bizottság nélkül.	Az Európai Parlament - szemben a nemzeti parlamentekkel - nem nyújthat be törvényjavaslatot az Európai Bizottság jóváhagyása nélkül. A javaslat támogatói szerint ennek megszüntetése az európai demokrácia fejlesztéséhez járulna hozzá, míg ellenzői a nemzeti szuverenitást, a nemzeti parlamentek önállóságát féltik.			3	
4	CO2 kibocsátás	Az EU-nak szigorúbb széndioxid-plafonokat kellene bevezetni a kibocsájtás csökkentése érdekében.	Az Európai Unióban érvényes szabályok a széndioxid-kibocsájtás mértékét szabályozzák a klímaváltozás visszaszorítása érdekében. Egyesek szerint további szigorításokra van szükség, mások szerint a hasonló szabályok növelik az energiaárakat.	7		4	
5	Az atomenergia támogatásának letiltása	Az EU tagállamainak meg kellene tiltani az atomenergia állami támogatását.	Az atomenergia támogatói a fűtőanyag-felhasználás hatékonyságával és (például a szén- vagy gázfűtésű erőművekkel szemben) az alacsony CO2-kibocsájtással érvelnek. Az ellenzők szerint az atomenergia használata nem kifizetődő és magas kockázattal jár.	11		5	
6	Genetikailag módosított haszonnövények	A génmódosított növények termesztését engedélyezni kellene az EU tagállamaiban.	Az EU jelenleg szigorúan korlátozza a génmódosított növények termesztését. A GMO-növények természtésének támogatói szerint az ilyen növények ellenállóbbak a különböző betegségekkel szemben, ezért nem igényelnek vegyi kezelést. A GMO ellenzői a lehetséges egészségügyi kockázatok és környezeti károk miatt aggódnak.	27		6	
7	Behozatali vám	A fejlődő országokból származó mezőgazdasági termékekre kivetett vámokat csökkenteni kellene Európában.	A különböző vámok és importadók támogatói szerint az ilyen típusú adók megvédik az uniós tagállamok gazdaságát és piacát a fejlődő országok olcsó mezőgazdasági termékeitől. Ellenzői szerint a különböző vámok korlátozzák az elmaradottabb országok fejlődését, hiszen a fejletlenebb országok legfőbb kiviteli cikkei éppen a mezőgazdasági termékek - ráadásul az importadók növelhetik az élelmiszerek árát is.			7	
8	Az Európai Bizottság elnökének megválasztása	Az Európai Bizottság elnökét közvetlenül kellene megválasztani.	Az Európai Bizottság elnökének közvetlen megválasztását támogatók növelnék az uniós intézmények legitimációt. Az ellenzők azzal érvelnek, hogy ez nem old meg semmilyen valós problémát, és nem erősítené az unióba vetett bizalmat.			8	
9	Társasági adó minimum	Be kellene vezetni egy minden tagállamra kötelező társaságiadó-minimumot az Európai Unióban.	A társasági adó szintje az unión belül 10-35 % között mozog. Az EU-ban egységesen bevezetendő, minimális mértékű társasági adó támogatói szerint a különbségek az EU-n belüli adóparadicsomok kialakulásához vezetek (pl. Ciprus), és a cégek az adókat nem abban az országban fizetik meg, ahol valójában profitot termelnek. Az ellenzők szerint az adópolitika az országok közötti egészséges verseny része.	8		9	
10	Belső támogatások	Az uniónak kevesebb támogatást kellene adnia a szegényebb tagállamok számára.	Az EU költségvetésének majdnem egyharmada megy el a régiók támogatására. Ennek fő célja a gazdaságilag fejletlenebb térségek támogatása az EU-n belül. A budapesti régiót kivéve egész Magyarország ide tartozik.	28		10	
11	EU bővítés	Nem szabadna újabb tagállamokat felvenni az Európai Unióba.	Jelenleg hivatalosan Montenegró, Izland, Macedónia, Szerbia és Törökország jelölt az EU-tagságra.	29		11	
12	Pénzügyi tranzakciós adó	Szükség van pénzügyi tranzakciós adóra az EU-ban.	A pénzügyi tranzakciós adó (kb. 0,01-0,1 %) a támogatói szerint egy ilyen adónem képes lehet megelőzni a pénzügyi spekulációkat. Az ellenzők azzal érvelnek, hogy ez a módszer csak világszerte alkalmazva lehet sikeres, és az unión belüli bevezetéssel csak azt érjük el, hogy megnövekszik a cégek EU-n kívüli tranzakciók száma.	13		12	
13	Európai hadsereg	Közös európai hadsereg felállítására van szükség.	Jelenleg az EU nem rendelkezik saját hadsereggel, csak harccsoportokkal. A közös hadsereg létrehozásának támogató szerint a hadsereg erősítené az EU helyzetét nemzetközi szinten, és hozzájárulhatna a konfliktusok feloldásához. Az ellenzők úgy látják, a honvédelem az egyes tagországok feladata.	18		13	
14	EU biztosok felmentése	Az Európai Parlamentnek meg kellene adni a jogot, hogy uniós biztosokat felmenthessen a hivatalából.	Az Európai Bizottság tagjait a tagállamok kormányai nevezik ki. Az Európai Bizottságot kinevezését pedig az Európai Parlament hagyja jóvá. A Bizottság tagjait kizárólag az Európai Parlament bizalmatlansági indítványa alapján lehet visszahívni, míg egyes képviselőkkel ugyanezt nem lehet megtenni.			14	
15	Közös külpolitika	Még több külpolitikai kérdésben kellene dönteni közösségi, és nem tagállami szinten.	Az EU közössségi szinten meghatározott kül- és biztonságpolitikájának céljai elvben kötelezőek a tagállamok részére, de az európai jogszabályok nem rendelkeznek semmilyen szankcióval e kötelezettség megsértése esetén.	20		15	
16	Uniós segélyezés	Az EU-nak több forrást kellene biztosítania a nemzetközi fejlesztésre és segélyezésre.	Az EU komoly fejlesztési segélyt biztosít szegényebb, az EU-n kívüli országok számára. Az intézmény támogatói szerint a segélyek segítik a célországokat, megelőzik a gyors népességnövekedést (baby boom), és visszaszorítják a kivándorlást a fejlettebb országokba, például az EU tagállamaiba. Az ellenzők szerint a segélyek nagy részét a kormányok és bűnözői csoportok eltulajdonítják, így a segélycsomagok nem jutnak el azokhoz, akiknek valóban szükségük van rájuk.	14		16	
17	Eurokötvény	Be kellene vezetni az eurókötvényt, amely révén az eurózóna országai közösen kezeskedhetnek egy tagállam által felvett kölcsönért.	Az eurókötvény-hálózat segítségével a befektetők hiteleket adhatnak az eurózóna területén. Az eurókötvény segíthet kilábalni a válságból a hitelek költségeinek csökkentésével olyan országoknak, mint pl. Görögország vagy Portugália. Az ellenzők rámutatnak az erkölcsi kockázatra, hogy a tagállamok az alacsonyabb kockázatok miatt felelőtlenül viselkedhetnek.	9		17	TRUE
18	Azonos neműek házassága	A tagállamoknak el kell ismerniük a más országban kötött házasságot egynemű pártok esetében is.	Az Emberi jogok Európai Bírósága 2010-es döntése alapján az azonos neműek közötti házasságkötés nem tartozik az elidegeníthetetlen emberi jogok közé, így a tagállamokat nem kényszerítik ennek engedélyezésére vagy elismerésére. A támogatók a homoszexuális pároknak is ugyanezen egyenlő jogokat követelnek. Az ellenzők nem ismerik el az azonos neműek közötti házasságkötést - például vallási okok miatt.	21		18	TRUE
19	Menekültügy	A menekültekkel kapcsolatos szabályozás legyen azonos minden európai országban.	Támogatói szerint a menedékjogot kérelmezők elhelyezésének közösségi szintre emelése segítene a menekülteknek és megelőzhetné, hogy egyik EU tagállamból a másikba vándoroljanak. Az ellenzők véleménye az, hogy minden ország helyzete különbözik ebben a tekintetben, így a szabályozását az országoknak kell megoldaniuk.	22		19	TRUE
20	Európai adók	Az Európai Uniónak adókivetési jogot kellene adni, hogy ezzel helyettesíthesse a tagállami hozzájárulásokat a közös költségvetéshez.	Jelenleg az EU bevételeinek döntő része a tagállamok GDP-arányos hozzájárulásaiból származik. A közös európai adózás bevezetése az EU költségvetését függetlenítené a tagállamoktól.	24		20	TRUE
21	Kilépés az EU-ból	Szlovákiának ki kéne lépnie az EU-ból.			The EU consists of 28 countries (including surrounding countries) Other European states outside of the EU are Ukraine, Belarus, Switzerland or Norway.		FALSE
22	Az EU föderalizációja	Az EU-nak föderációvá kellene válnia.	A föderációban a közös alkotmány rendelkezései szerint az államok feladatai, illetve a jogszabályok alkotása megoszlik föderációs és helyi szint között. Oroszország, az USA, Brazilia föderális alapon működnek, míg más országok szövetségei lazább kötődést jelentenek a tagállamok számára (pl. Latin-amerika, arab országok).	30	Federation is characterized by distribution of power among the federal institutions and national institutions. This distribution is bound by federal constitution. Federal states are e.g. USA, Russia, Brasilia or India. On the other hand the arab or latin-american states are autonomic/unitary despite of e.g. common language.	22	TRUE
23	Bizottság összetétéle függjön a választások eredményétől	Az Európai Bizottság összetételének összhangban kellene lennie az európai választások eredményeivel.	Az EU Bizottság biztosait a tagállamok kormányai jelölik, a jelöltek száma nem függ az EU-s választások eredményétől. Így plédául Németország és Málta is csupán egy biztost küld a Bizottságba.	2	The European commissars of the European Commission (“European government”) are nominated by governments of member states. Nowadays European Commission doesn’t correspond to result of euro-elections. For example there is just one commissar from the biggest Germany as well as one commissar from the smallest Malta.	23	TRUE
24	Európai népszavazás	Meg kell teremteni az EU-s népszavazásnak a lehetőségét	Szlovák állampolgárok hely, regionális és országos szinten kezdeményezhetnek népszavazást, EU-s szinten azonban nincs erre lehetőségük. A kezdeményezés támogatói szerint ezzel erősebben érvényesülnének az EU-ban a demokratikus jogok, míg ellenzői szerint inkább a populisták térnyerését szolgálná.	10	Citizen of Slovakia can announce a referendum at local, regional and natioanl level, but not at european level. According to supporters of all-european referendum it would increase opportunity of citizens to make decisions, but according to opponents it could lead to populistic actions.	24	TRUE
25	Nyári időszámítás megszüntetése	A nyári időszámítást be kéne szüntetni.			Daylight-saving time is used because most of activities is managed by time and they don’t change throughout the year. However the light time is changing. Daylight-saving time was first established in Austria-Hungary in 1916 and than within all Europe to prevent energy wasting, but this effect is minimal nowadays.	25	TRUE
26	EU-s jotállás	Egyazon gyártó termékeinek jótállását minden EU tagállamban lehessen a vásárlás helyszínétől függetlenül érvényesíteni 	Noha Szlovákiában lehetséges, számos tagállam nem biztosítja más országban vásárolt termékek jótállásának érvényesítését.	23	In general it’s not possible to reclaim goods (of same company) in other EU countries. However within Slovakia it is possible according to law.	26	TRUE
27	EU-s vállalkozói igazolvány	A vállalkozói igazolvány elég kéne, hogy legyen az egyéni vállalkozáshoz az egész EU-ban.			Nowadays it’s not possible to practice business in Hungary in the long term with Slovak Trade Certificate. However the same one is valid throughout Slovakia.	27	TRUE
28	Erasmus a középiskolákban	Az Erasmus programot ki kellene terjeszteni a középiskolákra is.	Ez Erasmus egyetemisták külföldi tanulmányait támogatja, a program költségvetése évi 2 milliárd Euró.	25	Erasmus Program supports university students to study abroad in other EU countries. Budget for this program is about 2 billion euros per year.	28	TRUE
29	Egységes ÁFA	Az egész EU-ban egységes ÁFA kéne, hogy legyen.			The rate Value-Added Tax is different throughout the EU. Amount of VAT is set by each member state and e.g. the range of basic VAT is 15 - 27 %, for food it’s 0 - 27 % throughout the EU. These differences are advantageous for some businessmen but for the others are disadvantageous.	29	TRUE
30	Autó regisztrálása	Az autó regisztrálása az egész EU-ban érvényes kéne, hogy legyen.			Car purchased in different EU country needs special “transit number”, short term car insurance and after transit needed to reregister it. It’s impossible to buy old car in different country at all.	30	TRUE
31	EU-USA szabadkereskedelmi megállapodás	Az EU es USA közti szabadkereskedelmi megállapodást jóvá kell hagyni.	Az egyezmény támogatói szerint a megállapodás az EU gazdasági teljesíményének növekedéséhez fog vezetni. Ellenzői szerint a tagállamok ezt követően nem fogják tudni korlátozatni például a palagáz vagy a génmódosított növények természtését.	12	Supporters of this agreement argue it increase economy of the EU. However critics argue that neither the EU nor member states will not able to e.g. to regulate extraction of shale gas, cultivation of genetically-modified crops or financial sphere.	31	TRUE
32	Autópálya matricák	Léteznie kéne az egész EU-ra érvényes autópálya matricának.	Jelenleg 7 EU-s országban használak autópálya matricát, 10-ben szednek útdíjat. A kezdeményezés támogatói szerint a biztosítási zöldkártyához hasonlóan az egész EU-ra érvényes autópálya matricát kellene bevezetni.	6	Nowadays there is a system of Motorway Tax Sticker only within 7 states and system of toll within 10 states of the EU. But, on the other hand, the “green card” (i.e. car insurance) is valid throughout the EU.	32	TRUE
33	Villanykörték	Ismét engedélyezni kellene a 60W-nál erősebb villanykörték árusítását 	Energiatakarékosság céljából az EU tiltja a 60W-nál erősebb izzók használatát. Egyesek szerint ez helyes döntés, mások szerint nem helyettesíthetőek minden esetben a 60W-nál erősebb izzók, vagy sokkal drágábbak.	15	Sale of lightbulbs with power over 60W is forbidden throughout the EU. This prohibition was enacted to prevent energy wasting. Similar prohibitions are established e.g. in Switzerland, Russia, Australia, Canada or Brasilia. Opponents argue that alternative products for this type of lightbulbs are expensive and not useful for some usage.	33	TRUE
34	EU-s rendőrség	Növelni kellene az EU-s rendőrség létszámát.	Az Europol csupán 1000 fős létszámmal működik. A kezdeményezés támogatói szerint a létszám növelése javítaná az intézmény hatékonyságát, és növelné a biztonságot. Ellenzői szerint ezt a kérdést tagállami szinten kell megoldani.	16	Nowadays in the EU is acting only “Europol” with less than 1000 employees. According to supporters the enlargement of this institution would lead to higher safety, but according to opponents this duty should be provide at domestic level.	34	TRUE
35	Mezőgazdasági támogatások csökkentése	Csökkenteni kellene az EU-ban folyosított mezőgazdasági támogatások mérékét	Az EU költségvetésének több mint egyharmadát az agrártámogatások teszik ki. Ellenzői szerint ez torzítja a piacot és magasan tartja az árakat. Támogatói szerint a mezőgazdasági támogatások segítenek a mezőgazdaságból élők életszínvonalának felzárkóztatását, és csökkenti az élelmiszerbehozatalt nem EU-s országokból.	5	More than 1/3 of EU’s budget is use as a subsidy for agriculture and most of it goes to farmers directly. Supporters argue that supporting of agriculture leads to self-sufficiency of the EU against importing goods from outside of the EU and increase standards of living in the countryside. Opponents argue that the subsidy is very expensive and increase price of the goods.	35	TRUE
36	Információk az USA-ba utazókról	Az utasszállító vállalatoknak továbbra is küldeni kéne az információkat az USA-ba utazókról.			Airlines are enforced to send information to US Department of Homeland Security about passengers traveling to USA. These information are saving for 10 years. Supporters advocate this measures such as fight against terrorism. Critics point out weak protection of these data.	36	TRUE
37	Szerzői jogok	Csökkenteni kellene az EU-ban a szerzői jogok érvényességének hosszát	Könyvek és filmek a szerző halálát követően 70 évig szerzői jogi védelem alatt álnak, zeneművek esetében csupán 50 évig. Egyesek szerint a túl hosszú szerzői jog akadályozza rengetegg származtatott mű létrejöttét, terjesztését, holott a szerzői jog célja nem a non-profit felhasználás tiltása volna, hanem a szerzők védelme a kiadókkal szemben. Mások szerint a szigorú szerzői jogi szabályozás nélkül számos mű nem jött volna létre.	17	Books and films are protected by copyright of 70 years after the author’s death and music work for 50 years. Supporters argue that without this kind of protection some art work would have never create. Opponents argue than this protection prevents and limits creation of derived works and that this protection was established to protect authors against publishers, not against noncommercial usage.	37	TRUE
38	A munkavállalók szabad áramlásának korlátozása	Az EU-s államoknak lehetőségük kéne, hogy legyen a külföldről érkező munkások számának limitálására.			Free movement of employees (possibility to be employed throughout the EU) is one of the basic freedoms within the EU. Opponent criticize e.g. abusing of social system of target country. Supporters point out that the countries, where foreign citizens work, profit economically.	38	TRUE
39	A költségvetési megállapodás	Szlovákiának csatlakoznia kéne a költségvetési megállapodáshoz.			The Fiscal Pact was signed by all member states of the EU except the Czech Republic and United Kingdom. This Pact, among other thing, determines limitation of national budget deficit of member states of the EU (0.5-1 % VAT). Violation of this pact can lead to financial sanction, but only against states using the euro as a currency. Supporters point out that it prevent from excessive deficit of member states. Opponents, on the other hand, point out the subordination of national budget to the European Commission.		FALSE
40	Élelmiszerek	Az EU-nak nem szabadna meghatároznia pontos normákat az élelmiszerek esetében.	Az EU-ban számos norma határozza meg az élelmiszerek típusát. Vajnak például csak olyan termék minősülhet, amelynek legalább 80% a zsírtartalma. Hasonló szabályozás érvényes a rumra is, csak olyan szesz nevezhető rumnak, amely cukornádból készül, szlovák rumnak ellenben más az alapanyaga, ezért nem forgalmazható rumként.	26	Within the EU there are norms determining use of term “butter” in case, where the product has at least 80 % of milk fat. According to this norm the term “spread butter” must be withdrawn. Similar is the case of term “rum”, which must contain alcohol from sugar cane, but Slovak "domestic rum" does not.	40	TRUE
41	Euró	Csehországban be kéne vezetni az eurót 2020-ig.			The Euro is a currency of 18 EU states and some other outside of the EU. Within neighbouring countries it’s used as a currency in Germany, Austria and Slovakia, but not in Poland. However adopting the euro as a currency is one of the states’ comitment to the EU. According to supporters is its using economicaly advantageous but according to oponents it is not.		FALSE
42	Szlovák korona	Szlovákia az Euro helyett ismét be kellene vezetnie a szlovák koronát.	18 tagállamban használják az Eurót fizetési eszközként, Szlovákia szomszédai közül azonban csak Ausztriában. Egyes közgazdászok szerint az Euró inkább előnyt jelent a szlovák gazdaság számára, míg mások ennek az ellenkezőjét állítják. 	19	The Euro is a currency of 18 EU states and some other outside of the EU. Within neighbouring countries it’s used as a currency only in Austria. In the Czech Republic, Poland, Hungary or in Ukraine it’s not used. However adopting the euro as a currency is one of the states’ commitment to the EU. According to supporters is its using economically advantageous but according to opponents it is not.	42	TRUE
	Kilépés az EU-ból	Szlovákia ki kellene lépnie az EU-ból.	Az EU-nak 28 tagállama van, néhány európai ország, mint Norvégia, Svájc, Ukrajna, Fehéroroszország nem tagjai az EU-nak.	1	The EU consist 28 countries. Some European states outside of the EU are Ukraine, Belarus, Switzerland or Norway	43	
	Krízis Ukrajnán	Az EU-nak nem szabadna reagálnia Szlovákia lépéseire az ukrán krízis esetében.					